,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5,3.1181387106577554,0.002398958551894788,0.05579360326131185,0.0005168438351254151,200,{'model__n_estimators': 200},0.5727411944869831,0.5551301684532925,0.5811638591117917,0.5696784073506892,0.010846620398609341,3,0.7875191424196019,0.7538284839203675,0.8016845329249617,0.781010719754977,0.020071871375444483
6,4.667629718780518,0.010020070846768385,0.08286372820536296,0.000740220804161265,300,{'model__n_estimators': 300},0.6056661562021439,0.5895865237366003,0.5865237366003063,0.5939254721796835,0.008395550895047725,2,0.8147013782542113,0.7901990811638591,0.8139356814701378,0.8062787136294028,0.011374313402326303
7,7.663554430007935,0.06844682425919922,0.13756020863850912,0.0009303750047474556,500,{'model__n_estimators': 500},0.6248085758039816,0.6010719754977029,0.5727411944869831,0.5995405819295558,0.02128398339907034,1,0.8392036753445635,0.8303981623277182,0.8273353751914242,0.8323124042879021,0.005030730817873143
0,0.18749602635701498,0.001578772250443139,0.003544489542643229,4.490434590676067e-05,10,{'model__n_estimators': 10},0.47013782542113325,0.4647779479326187,0.49770290964777947,0.4775395610005104,0.014424574937156496,8,0.5865237366003063,0.5658499234303216,0.6014548238897397,0.5846094946401225,0.014598526772540308
1,0.5187385082244873,0.004489343012453414,0.009057124455769857,0.00025665080531570353,30,{'model__n_estimators': 30},0.4992343032159265,0.5222052067381318,0.5382848392036753,0.5199081163859112,0.016024846505709293,7,0.6405053598774885,0.6650076569678407,0.6810872894333844,0.6622001020929045,0.016686022591813343
2,0.8267060120900472,0.0049277952523844384,0.014379660288492838,0.0002109576784801534,50,{'model__n_estimators': 50},0.5252679938744257,0.5245022970903522,0.5359877488514548,0.5285860132720775,0.005243144100095503,6,0.667687595712098,0.6879785604900459,0.7109494640122511,0.6888718734047984,0.017672875981339233
3,1.2063823541005452,0.01999997337233047,0.020976702372233074,0.00010630034941034102,75,{'model__n_estimators': 75},0.5382848392036753,0.5535987748851455,0.5566615620214395,0.5495150587034201,0.00803880334253376,5,0.6875957120980092,0.7366003062787136,0.7293261868300153,0.7178407350689127,0.021591653701084654
4,1.6019373734792073,0.01025235328936615,0.029787699381510418,0.0031481763640928747,100,{'model__n_estimators': 100},0.5490045941807045,0.5467075038284839,0.5581929555895865,0.5513016845329249,0.004962282311185182,4,0.7354517611026034,0.7392802450229708,0.7473200612557427,0.7406840224604391,0.004945845424981132
5,3.1026910146077475,0.015045000407214588,0.054331700007120766,0.0003831061556021755,200,{'model__n_estimators': 200},0.5712098009188361,0.5735068912710567,0.5696784073506891,0.5714650331801939,0.0015733573259237115,3,0.7710566615620215,0.7921133231240429,0.7894333843797856,0.78420112302195,0.00935870960556361
6,4.609167098999023,0.029496251196066112,0.08278862635294597,0.002321894750811108,300,{'model__n_estimators': 300},0.5520673813169985,0.5918836140888208,0.5865237366003063,0.5768249106687086,0.017642439672062735,1,0.7856049004594181,0.8131699846860643,0.8035987748851455,0.8007912200102093,0.011427167639368848
7,7.5164399941762285,0.06489495555777437,0.13802496592203775,0.004487129800374967,500,{'model__n_estimators': 500},0.5635528330781011,0.5895865237366003,0.5727411944869831,0.5752935171005614,0.010780353283278614,2,0.8127871362940275,0.8372894333843798,0.8078101071975498,0.8192955589586525,0.012884806098487528
0,0.187117338180542,0.0028634014640432203,0.003625075022379557,7.310146745013294e-05,10,{'model__n_estimators': 10},0.4655436447166922,0.5007656967840735,0.4770290964777948,0.4811128126595201,0.014666419498273223,8,0.5662327718223583,0.6163859111791731,0.5513016845329249,0.5779734558448189,0.027837287769243282
1,0.5148480733235677,0.005358316700537959,0.00903169314066569,0.00012690922401727565,30,{'model__n_estimators': 30},0.4724349157733537,0.5061255742725881,0.5061255742725881,0.49489535477284335,0.015881928724965872,7,0.6512251148545176,0.655436447166922,0.6198315467075038,0.6421643695763145,0.015885004730429017
2,0.8265922864278158,0.009185246971677864,0.014539082845052084,0.0004248263770803291,50,{'model__n_estimators': 50},0.5260336906584993,0.5344563552833078,0.5160796324655437,0.5255232261357835,0.007510943833365057,6,0.6814701378254211,0.7040581929555896,0.666156202143951,0.6838948443083206,0.015568121873828047
3,1.2332390149434407,0.007217205649400869,0.021811803181966145,0.00010148425909234569,75,{'model__n_estimators': 75},0.5367534456355283,0.5497702909647779,0.5252679938744257,0.537263910158244,0.010009531164434706,4,0.7335375191424196,0.7300918836140888,0.6902756508422665,0.7179683511995917,0.019632156289431057
4,1.5986177921295166,0.009652380058760802,0.027826865514119465,0.0005320287784740548,100,{'model__n_estimators': 100},0.5336906584992342,0.5382848392036753,0.5359877488514548,0.5359877488514548,0.0018755664186701304,5,0.7404287901990811,0.7568912710566615,0.7289433384379785,0.7420877998979071,0.01146984362869899
5,3.0758814811706543,0.0019416492612747893,0.05470426877339681,0.000606089363335272,200,{'model__n_estimators': 200},0.5658499234303216,0.5903522205206738,0.5513016845329249,0.5691679428279736,0.016114031768927624,3,0.7867534456355283,0.8147013782542113,0.7591883614088821,0.7868810617662071,0.02266327387684102
6,4.5690016746521,0.007871498121554063,0.08199834823608398,0.0013265310786197164,300,{'model__n_estimators': 300},0.5735068912710567,0.5750382848392037,0.5719754977029097,0.5735068912710567,0.0012503776124467537,2,0.8135528330781011,0.8108728943338438,0.7871362940275651,0.8038540071465033,0.011871730198629629
7,7.537073930104573,0.06750513778061329,0.13728674252827963,0.0013315112545833404,500,{'model__n_estimators': 500},0.6064318529862175,0.5941807044410413,0.5788667687595712,0.59315977539561,0.011276529879721562,1,0.864854517611026,0.8361408882082695,0.8288667687595712,0.8432873915262888,0.015536707053613267
0,0.18871370951334634,0.0020024830661194717,0.0035213629404703775,0.00010015024605797534,10,{'model__n_estimators': 10},0.4777947932618683,0.4908116385911179,0.48238897396630936,0.4836651352730985,0.005390176641639328,8,0.5348392036753445,0.6014548238897397,0.5758039816232772,0.5706993363961205,0.027434203303036198
1,0.5221802393595377,0.008567944664102765,0.009835402170817057,0.0012289314793636802,30,{'model__n_estimators': 30},0.5068912710566615,0.5283307810107197,0.5191424196018377,0.5181214905564063,0.008782363723371748,7,0.6454823889739663,0.6757274119448698,0.6447166921898928,0.655308831036243,0.014441500559911623
2,0.8346847693125407,0.0050612149231275645,0.014423211415608725,0.0003219231996537433,50,{'model__n_estimators': 50},0.5214395099540582,0.5398162327718223,0.5237366003062787,0.5283307810107197,0.008175404480881556,6,0.6611791730474732,0.6841500765696784,0.6699846860643185,0.6717713118938233,0.009462544620682306
3,1.236567735671997,0.001405609385943265,0.021412769953409832,0.0001176581127145791,75,{'model__n_estimators': 75},0.5336906584992342,0.5444104134762634,0.555895865237366,0.5446656457376212,0.009067034031818098,4,0.7013782542113323,0.7174578866768759,0.7316232771822359,0.7168198060234814,0.012355719696232425
4,1.5996180375417073,0.023272696405297586,0.027933756510416668,0.0005075812033524416,100,{'model__n_estimators': 100},0.5329249617151608,0.5459418070444104,0.5497702909647779,0.5428790199081164,0.0072100290412585605,5,0.6998468606431854,0.7381316998468607,0.7423430321592649,0.7267738642164371,0.019117731229355363
5,3.112628698348999,0.012460192161604027,0.05553897221883138,0.0005250359424187528,200,{'model__n_estimators': 200},0.5604900459418071,0.5704441041347627,0.5696784073506891,0.566870852475753,0.004522727194147344,3,0.7438744257274119,0.7848392036753445,0.777947932618683,0.7688871873404798,0.01790904960866094
