,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1,0.06536300977071126,0.0021803633234359246,0.0034505526224772134,0.00012742743849422297,20,{'model__n_estimators': 20},0.6779026217228464,0.7265917602996255,0.7030075187969925,0.7025006336064882,0.01988048881499082,11,1.0,1.0,1.0,1.0,0.0
2,0.09415459632873535,0.0008450195763205151,0.0046549638112386065,0.00015625863861885451,30,{'model__n_estimators': 30},0.7078651685393258,0.7153558052434457,0.7142857142857143,0.7125022293561619,0.003307871765826913,8,1.0,1.0,1.0,1.0,0.0
3,0.12728444735209146,0.0012620484947555258,0.0058476924896240234,0.00014913814258874362,40,{'model__n_estimators': 40},0.6853932584269663,0.7153558052434457,0.7330827067669173,0.7112772568124431,0.019681578336441748,9,1.0,1.0,1.0,1.0,0.0
4,0.15878001848856607,0.002262774386894705,0.006996711095174153,7.15788889790204e-05,50,{'model__n_estimators': 50},0.7078651685393258,0.7078651685393258,0.7180451127819549,0.7112584832868688,0.00479887173737601,10,1.0,1.0,1.0,1.0,0.0
5,0.1918493111928304,0.004044090264990604,0.008131742477416992,0.0001043930389305551,60,{'model__n_estimators': 60},0.7228464419475655,0.7265917602996255,0.7368421052631579,0.7287601025034496,0.005915850395083696,7,1.0,1.0,1.0,1.0,0.0
6,0.22126062711079916,0.0011252700982759243,0.009557723999023438,0.00030816490601990877,70,{'model__n_estimators': 70},0.7378277153558053,0.7378277153558053,0.7255639097744361,0.7337397801620155,0.005781213393159724,6,1.0,1.0,1.0,1.0,0.0
7,0.25012024243672687,0.0030486022405854466,0.010428746541341146,0.00010882449410556247,80,{'model__n_estimators': 80},0.7453183520599251,0.7640449438202247,0.7330827067669173,0.7474820008823557,0.01273253216519018,4,1.0,1.0,1.0,1.0,0.0
8,0.28145726521809894,0.005640315400045435,0.011690378189086914,0.00011042118254401268,90,{'model__n_estimators': 90},0.7303370786516854,0.7565543071161048,0.7669172932330827,0.7512695596669575,0.015394250905369795,2,1.0,1.0,1.0,1.0,0.0
9,0.3136250972747803,0.009023605510812358,0.012719233830769857,0.00013490816978207627,100,{'model__n_estimators': 100},0.7453183520599251,0.7602996254681648,0.7368421052631579,0.7474866942637494,0.009698456732104012,3,1.0,1.0,1.0,1.0,0.0
10,0.3422692616780599,0.00247492912558353,0.013954401016235352,3.1619613320476664e-05,110,{'model__n_estimators': 110},0.7490636704119851,0.7677902621722846,0.7443609022556391,0.7537382782799695,0.010120036085755693,1,1.0,1.0,1.0,1.0,0.0
